games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
71,90,2010,23,3.17,7.69,1.3,3.48,0.96,1.42,1.04,3.28,4.32,1.04,0.76,0.18,0.96,1.62,8.59,0.412,0.372,0.673
80,179,2010,25,4.23,7.54,0.01,0.05,1.75,2.41,1.85,6.04,7.89,0.88,0.45,1.14,1.01,2.35,10.21,0.561,0.25,0.725
65,1593,2010,35,5.65,11.42,0.0,0.06,1.48,3.34,3.06,8.02,11.08,2.02,0.72,2.58,1.92,3.34,12.77,0.495,0.0,0.442
72,241,2010,25,3.9,6.88,0.0,0.01,1.75,2.22,2.63,3.78,6.4,1.13,0.74,1.22,0.96,3.65,9.56,0.568,0.0,0.788
50,263,2010,8,1.36,3.0,0.0,0.04,0.48,0.86,1.14,1.46,2.6,0.14,0.2,0.5,0.62,1.18,3.2,0.453,0.0,0.558
75,388,2010,36,7.97,15.84,0.11,0.57,4.0,5.28,4.35,7.84,12.19,2.17,0.84,0.33,2.01,2.33,20.05,0.503,0.186,0.758
37,735,2010,20,3.62,5.43,0.0,0.0,1.97,3.54,1.3,3.51,4.81,0.7,0.43,1.14,1.51,3.24,9.22,0.667,0.0,0.557
80,879,2010,30,4.99,10.31,0.56,1.43,2.66,3.21,0.96,3.26,4.23,2.5,0.8,0.44,1.68,2.3,13.2,0.484,0.395,0.829
80,908,2010,33,2.69,7.45,1.66,4.89,0.84,0.96,0.44,3.95,4.39,8.19,1.68,0.36,2.24,1.49,7.88,0.361,0.34,0.87
7,946,2010,7,0.43,1.71,0.14,0.57,0.71,1.0,0.14,0.86,1.0,0.43,0.0,0.29,0.29,0.43,1.71,0.25,0.25,0.714
16,957,2010,4,0.19,1.0,0.0,0.0,0.13,0.13,0.19,1.13,1.31,0.25,0.0,0.25,0.31,0.81,0.5,0.188,0.0,1.0
10,964,2010,7,0.1,0.6,0.0,0.0,0.0,0.2,0.6,0.7,1.3,0.3,0.2,0.5,0.3,0.7,0.2,0.167,0.0,0.0
73,965,2010,18,2.32,4.71,0.0,0.01,0.71,1.05,1.67,3.74,5.41,1.15,0.49,0.53,0.99,2.23,5.34,0.491,0.0,0.675
71,971,2010,31,6.11,11.58,0.01,0.07,2.63,3.06,1.17,7.72,8.89,2.41,1.34,0.8,1.62,2.08,14.87,0.528,0.2,0.862
52,978,2010,22,1.83,3.58,0.02,0.02,0.38,0.62,1.44,4.35,5.79,1.15,0.62,0.81,0.81,3.15,4.06,0.511,1.0,0.625
51,1012,2010,15,1.02,1.75,0.0,0.02,0.47,0.86,1.04,2.43,3.47,0.43,0.27,0.92,0.63,1.61,2.51,0.584,0.0,0.545
59,1016,2010,26,1.98,4.98,0.0,0.02,0.73,1.19,3.08,7.19,10.27,2.05,0.68,1.56,1.05,2.37,4.69,0.398,0.0,0.614
54,1020,2010,22,1.24,2.76,0.02,0.04,0.35,1.06,2.39,4.09,6.48,1.33,1.0,1.0,0.81,1.5,2.85,0.45,0.5,0.333
80,1036,2010,36,6.0,12.23,2.1,4.73,2.41,2.74,0.64,2.79,3.43,2.74,0.96,0.2,1.46,1.84,16.51,0.491,0.444,0.881
75,1039,2010,33,5.32,10.81,1.08,2.73,3.03,3.32,0.53,2.93,3.47,11.4,0.64,0.05,3.53,1.16,14.75,0.492,0.395,0.912
