id,mag,longitude,latitude,date
usp000hrgh,4.0,-73.333,-42.262,2010-12-22
usp000hr5d,4.5,-73.235,-36.492,2010-12-19
usp000hr1v,4.3,-73.726,-37.722,2010-12-17
usp000hqxc,4.5,-72.108,-40.491,2010-12-14
usp000hqtn,4.7,-73.529,-37.045,2010-12-11
usp000hqmg,4.8,-73.723,-37.454,2010-12-07
usp000hpxk,4.0,-74.268,-37.583,2010-11-21
usp000hpvs,5.2,-73.688,-37.958,2010-11-20
usp000hpvk,4.4,-73.986,-37.909,2010-11-20
usp000hprq,4.5,-70.995,-36.441,2010-11-16
usp000hpq0,4.1,-72.91,-36.173,2010-11-15
usp000hph2,4.0,-73.085,-36.234,2010-11-13
usp000hpe9,4.1,-73.619,-37.599,2010-11-11
usp000hpbq,5.0,-73.362,-36.438,2010-11-10
usp000hpaw,4.4,-73.928,-42.612,2010-11-09
usp000hp3w,4.6,-72.558,-36.135,2010-11-05
usp000hnwu,4.5,-71.779,-36.408,2010-11-02
usp000hnsm,4.4,-73.403,-36.177,2010-10-30
usp000hnpk,4.4,-73.59,-37.187,2010-10-28
usp000hnhj,4.4,-73.507,-36.135,2010-10-25
usp000hnf3,4.7,-73.428,-36.835,2010-10-23
usp000hneu,4.9,-73.603,-37.109,2010-10-23
usp000hner,5.1,-73.41,-36.779,2010-10-23
usp000hnek,5.5,-73.362,-37.743,2010-10-23
usp000hn2n,4.4,-72.754,-36.044,2010-10-13
usp000hn17,4.7,-73.966,-38.028,2010-10-12
usp000hn0q,4.3,-74.086,-37.101,2010-10-12
usp000hn0m,4.8,-73.71,-36.801,2010-10-12
usp000hmwa,4.3,-74.774,-37.775,2010-10-09
usp000hmm2,4.1,-73.581,-36.502,2010-10-04
usp000hmm0,5.0,-73.293,-36.364,2010-10-04
usp000hmfb,4.4,-73.556,-36.637,2010-10-01
usp000hmcg,4.6,-72.983,-37.991,2010-09-30
usp000hmcc,5.8,-74.256,-36.249,2010-09-30
usp000hm6j,5.0,-72.765,-40.459,2010-09-26
usp000hm60,4.9,-74.956,-39.625,2010-09-25
usp000hm3c,4.4,-72.876,-36.718,2010-09-23
usp000hkua,5.1,-73.599,-37.506,2010-09-17
usp000hkqq,4.2,-73.717,-37.205,2010-09-14
usp000hkpm,5.1,-74.392,-37.522,2010-09-14
usp000hkpk,4.4,-74.235,-36.984,2010-09-14
usp000hkpj,5.2,-73.524,-37.221,2010-09-14
usp000hkph,4.3,-74.006,-37.272,2010-09-14
usp000hkk9,4.4,-73.802,-37.357,2010-09-11
usp000hkg9,6.2,-73.412,-37.034,2010-09-09
usp000hkcx,4.7,-74.001,-37.642,2010-09-07
usp000hkar,5.0,-73.423,-37.785,2010-09-06
usp000hk5u,3.5,-73.402,-36.64,2010-09-04
usp000hk5q,4.4,-73.153,-36.702,2010-09-03
usp000hk5f,4.4,-73.318,-36.63,2010-09-03
usp000hk32,4.2,-72.748,-36.882,2010-09-03
usp000hjyr,4.3,-73.382,-37.363,2010-08-30
usp000hjwq,4.7,-73.441,-37.651,2010-08-29
usp000hjwm,4.1,-74.747,-37.94,2010-08-29
usp000hjv1,4.4,-73.802,-37.894,2010-08-28
usp000hjs6,4.6,-73.082,-38.011,2010-08-25
usp000hjpb,4.3,-74.549,-37.289,2010-08-24
usp000hjkp,5.0,-73.718,-36.532,2010-08-22
usp000hjkm,4.0,-73.257,-39.075,2010-08-22
usp000hjh7,4.5,-73.069,-36.805,2010-08-20
usp000hjcs,4.9,-74.214,-37.166,2010-08-18
usp000hjbc,4.5,-73.939,-37.158,2010-08-17
