id,mag,longitude,latitude,date,Days since last eruption,vei,was_erupted,volcano_latitude,volcano_longitude
iscgem904821,6.6,-72.459,-40.535,1934-03-01,2616,,0.0,,
iscgem901785,7.8,-72.315,-36.305,1939-01-25,4407,,0.0,,
iscgem901645,7.0,-73.63,-42.041000000000004,1940-10-11,5032,,0.0,,
iscgem896480,6.9,-72.676,-37.665,1949-04-20,8145,,0.0,,
iscgem893991,6.2,-73.51899999999999,-38.589,1951-01-03,8768,,0.0,,
iscgem891664,7.5,-72.866,-37.093,1953-05-06,9622,,0.0,,
iscgem890888,6.3,-72.955,-41.233000000000004,1954-07-26,10068,,0.0,,
iscgem889793,6.1,-72.02600000000001,-40.8,1955-07-28,10435,,0.0,,
iscgem879106,8.1,-73.35300000000001,-37.824,1960-05-21,12194,,0.0,,
iscgem879111,6.2,-73.194,-37.364000000000004,1960-05-21,12194,,0.0,,
iscgem879126,5.8,-73.127,-37.975,1960-05-22,12195,,0.0,,
iscgem879127,7.1,-73.017,-37.775,1960-05-22,12195,,0.0,,
iscgem879128,6.8,-73.149,-37.86,1960-05-22,12195,,0.0,,
iscgem879123,5.8,-73.962,-38.064,1960-05-22,12195,,0.0,,
official19600522191120_30,9.5,-73.407,-38.143,1960-05-22,12195,,0.0,,
official19600522185602_30,7.8,-73.039,-38.061,1960-05-22,12195,,0.0,,
iscgem879149,6.5,-73.866,-38.543,1960-05-23,12196,,0.0,,
iscgemsup879184,6.2,-73.152,-37.859,1960-05-23,12196,,0.0,,
iscgem879175,6.4,-72.691,-38.162,1960-05-23,12196,,0.0,,
iscgem879166,6.2,-73.367,-41.57899999999999,1960-05-23,12196,,0.0,,
iscgem879303,6.0,-72.77,-37.713,1960-05-28,12201,,0.0,,
iscgem879315,6.3,-72.436,-37.689,1960-05-29,12202,,0.0,,
iscgem879317,5.9,-73.23,-37.749,1960-05-29,12202,,0.0,,
iscgem879348,6.1,-73.014,-37.895,1960-06-01,12205,,0.0,,
iscgem879577,7.0,-72.917,-38.154,1960-06-20,12224,,0.0,,
iscgem879581,6.9,-72.813,-39.071,1960-06-20,12224,,0.0,,
iscgem879719,5.8,-73.555,-38.534,1960-07-05,12239,1.0,1.0,-39.42,-71.93
iscgem880062,6.7,-74.783,-39.964,1960-08-13,39,,0.0,,
iscgem880534,5.8,-73.068,-38.323,1960-10-14,101,,0.0,,
iscgem880832,6.2,-74.788,-40.134,1960-11-22,140,,0.0,,
iscgem876371,6.2,-72.8,-38.258,1961-04-08,277,,0.0,,
iscgem876557,6.1,-72.848,-37.439,1961-05-11,310,,0.0,,
iscgem877550,6.6,-73.238,-36.738,1961-10-18,470,,0.0,,
iscgemsup877862,6.1,-73.88,-38.24,1961-12-24,537,,0.0,,
iscgem17291428,7.1,-72.885,-37.845,1962-02-14,589,,0.0,,
iscgem874301,6.2,-73.053,-37.732,1962-02-27,602,,0.0,,
iscgem874426,6.2,-73.986,-40.532,1962-03-26,629,,0.0,,
iscgem871787,6.4,-73.443,-38.437,1963-02-05,945,,0.0,,
iscgem871788,6.0,-73.465,-38.459,1963-02-06,946,,0.0,,
iscgem864939,6.4,-74.87100000000001,-41.121,1964-08-05,1492,,0.0,,
iscgem848349,6.3,-72.695,-38.231,1966-04-12,2107,,0.0,,
iscgem848355,5.9,-73.19800000000001,-38.194,1966-04-13,2108,,0.0,,
iscgem848610,5.9,-73.428,-37.656,1966-04-22,2117,,0.0,,
iscgem837800,5.7,-74.722,-40.17,1967-03-13,2442,,0.0,,
iscgem834296,5.7,-73.809,-41.394,1967-06-10,2531,,0.0,,
iscgem787485,5.7,-73.27600000000001,-36.775,1971-02-18,3880,,0.0,,
iscgem784207,6.0,-71.793,-42.229,1971-05-08,3959,,0.0,,
usp0000064,4.9,-73.388,-38.02,1973-01-17,4579,,0.0,,
usp00000xa,4.5,-73.699,-37.177,1973-03-12,4633,,0.0,,
usp0000104,4.7,-73.266,-38.147,1973-03-20,4641,,0.0,,
usp0000189,5.0,-74.627,-39.62,1973-04-05,4657,,0.0,,
usp000018a,4.8,-74.683,-40.72,1973-04-05,4657,,0.0,,
usp00002xp,5.5,-73.37899999999999,-37.65,1973-07-31,4774,,0.0,,
usp00002xq,4.4,-73.077,-37.547,1973-07-31,4774,,0.0,,
usp00002zx,4.8,-71.911,-38.227,1973-08-05,4779,,0.0,,
usp00003f7,4.6,-73.645,-37.8,1973-09-17,4822,,0.0,,
usp000042t,4.2,-74.66199999999999,-38.467,1973-11-07,4873,,0.0,,
usp000047d,5.0,-72.918,-39.997,1973-11-20,4886,,0.0,,
usp00005cb,4.0,-73.643,-36.876,1974-02-21,4979,,0.0,,
usp00006yj,4.7,-70.384,-38.143,1974-06-30,5108,,0.0,,
usp000075p,4.3,-72.24600000000001,-39.221,1974-07-15,5123,,0.0,,
usp00007b5,4.6,-72.89399999999999,-36.316,1974-07-27,5135,,0.0,,
usp00007hp,4.9,-73.548,-37.246,1974-08-09,5148,,0.0,,
usp00007nz,7.1,-73.431,-38.453,1974-08-18,5157,,0.0,,
usp00007p1,4.5,-74.244,-38.498000000000005,1974-08-18,5157,,0.0,,
usp00007tb,5.4,-73.387,-38.341,1974-08-27,5166,,0.0,,
usp00007ym,5.2,-73.72399999999999,-38.321,1974-09-07,5177,,0.0,,
usp00007yx,4.7,-73.774,-38.327,1974-09-08,5178,,0.0,,
usp00007z0,4.6,-73.477,-38.254,1974-09-08,5178,,0.0,,
usp0000801,4.6,-73.17399999999999,-38.236999999999995,1974-09-11,5181,,0.0,,
usp00008ns,4.7,-73.042,-38.209,1974-11-03,5234,,0.0,,
usp000090x,4.7,-73.331,-38.056,1974-12-06,5267,,0.0,,
usp000094s,4.0,-73.567,-38.775,1974-12-15,5276,,0.0,,
usp00009c1,5.4,-73.12899999999999,-38.305,1975-01-01,5293,,0.0,,
usp0000azb,4.8,-73.445,-38.082,1975-05-10,5422,,0.0,,
usp0000aza,5.2,-73.072,-37.93,1975-05-10,5422,,0.0,,
usp0000az9,7.7,-73.232,-38.183,1975-05-10,5422,,0.0,,
usp0000azd,4.6,-73.70100000000001,-37.927,1975-05-11,5423,,0.0,,
usp0000aze,4.0,-73.344,-37.824,1975-05-11,5423,,0.0,,
usp0000azq,4.9,-72.801,-37.963,1975-05-11,5423,,0.0,,
usp0000azr,4.3,-72.58,-37.949,1975-05-11,5423,,0.0,,
usp0000azy,4.1,-73.375,-37.858000000000004,1975-05-11,5423,,0.0,,
usp0000azz,4.6,-73.10300000000001,-37.938,1975-05-11,5423,,0.0,,
usp0000b0d,4.2,-72.847,-37.889,1975-05-12,5424,,0.0,,
usp0000b0b,4.3,-73.331,-37.853,1975-05-12,5424,,0.0,,
usp0000b0k,4.7,-73.27199999999999,-38.096,1975-05-13,5425,,0.0,,
usp0000b1f,5.0,-72.618,-38.089,1975-05-14,5426,,0.0,,
usp0000b12,4.1,-73.131,-38.010999999999996,1975-05-14,5426,,0.0,,
usp0000b1q,4.7,-73.336,-38.201,1975-05-15,5427,,0.0,,
usp0000b4f,5.0,-73.92699999999999,-37.965,1975-05-22,5434,,0.0,,
